epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,1.765419394141049,15.0,1.7654193941410454,15.0,2.256789317678899,15.000214288775554,0.3718208333333333,0.3718208333333333
1,1.416278759638472,15.0,1.416278759638475,15.0,1.5033891506841206,15.000214288775554,0.4486791666666667,0.4486791666666667
2,1.4021315739854612,15.0,1.402131573985459,15.0,1.4039534524633126,15.000214288775554,0.44714166666666666,0.44714166666666666
3,1.3569559546226146,15.0,1.3569559546226204,15.0,1.3771106555944757,15.000214288775554,0.47023125,0.47023125
4,1.4242214063056766,15.0,1.4242214063056722,15.0,1.3592605337088988,15.000214288775554,0.44518541666666667,0.44518541666666667
