epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.098952079321385,15.0,2.098952079321382,15.0,2.6528096688607734,15.001714481655046,0.28271666666666667,0.28271666666666667
1,1.7973213618135695,15.0,1.7973213618135642,15.0,1.8664153612619148,15.001714481655046,0.35490208333333334,0.35490208333333334
2,1.6296642414284386,15.0,1.6296642414284424,15.0,1.713340143665547,15.001714481655046,0.39361666666666667,0.39361666666666667
3,1.5551612438752054,15.0,1.5551612438752043,15.0,1.5940291147179495,15.001714481655046,0.4048145833333333,0.4048145833333333
4,1.5516675570342704,15.0,1.551667557034271,15.0,1.552297734676311,15.001714481655046,0.4008833333333333,0.4008833333333333
