epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,1.88189006144468,15.0,1.8818900614446783,15.0,2.338665843431029,15.001714481655046,0.35335625,0.35335625
1,1.53589069397076,15.0,1.5358906939707582,15.0,1.6089657198064722,15.001714481655046,0.40682083333333335,0.40682083333333335
2,1.4621123725530856,15.0,1.4621123725530853,15.0,1.488725323256883,15.001714481655046,0.43774583333333333,0.43774583333333333
3,1.4669624285737737,15.0,1.4669624285737748,15.0,1.458726295099346,15.001714481655046,0.42492708333333334,0.42492708333333334
4,1.4432615642360018,15.0,1.4432615642360025,15.0,1.443381633467564,15.001714481655046,0.44336875,0.44336875
