distance,val_loss,val_accuracy,test_loss,test_accuracy
14,2.772589921951294,0.0625,2.7725772857666016,0.0625
2,2.772592306137085,0.06260000169277191,2.772583484649658,0.06257999688386917
44,2.7725956439971924,0.0625,2.7725985050201416,0.0625
62,2.7726380825042725,0.0625,2.7726478576660156,0.0625
20,2.7725908756256104,0.0625,2.772575855255127,0.0625
32,2.7725911140441895,0.0625,2.7725846767425537,0.0625
50,2.772601366043091,0.0625,2.772608995437622,0.0625
8,2.772590160369873,0.0625,2.772575855255127,0.0625
26,2.772589683532715,0.0625,2.772583484649658,0.0625
38,2.7725906372070312,0.0625,2.772585391998291,0.0625
56,2.7726128101348877,0.0625,2.77262020111084,0.0625
2.8.14.20.26.32,2.7725934982299805,0.06239999830722809,2.772578716278076,0.06256125122308731
total time seconds: 1431.876631975174
