seed,stride,loss
15474,10,1.77434454030585
15474,20,1.8337785193039295
15474,50,1.5964381319584726
15474,5,1.714366777070165
25792,10,1.5367835300343442
25792,20,1.6222839129749111
25792,50,1.5124967567114653
25792,5,1.699203513316919
5133,10,1.4696533544695685
5133,20,1.418844236294558
5133,50,1.4187728547903298
5133,5,1.50907070453097
8646,10,1.6895930233021605
8646,1,1.5188946083119923
8646,20,1.4208200310434989
8646,25,1.6175793518073298
8646,50,1.5500983514692512
8646,5,1.5542896907784034
