epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.7453799062756437,15.0,2.7453799062756485,15.0,2.7724035269120226,15.001714481655046,0.151275,0.151275
1,1.8587432091342195,15.0,1.858743209134217,15.0,2.0769934965349397,15.001714481655046,0.34664375,0.34664375
2,1.7718696264212244,15.0,1.7718696264212228,15.0,1.7963200440434388,15.001714481655046,0.37445208333333335,0.37445208333333335
3,1.705437544822188,15.0,1.7054375448221841,15.0,1.7362891878324604,15.001714481655046,0.3945895833333333,0.3945895833333333
4,1.6480587836966953,15.0,1.6480587836966976,15.0,1.6610858656658958,15.001714481655046,0.39831458333333336,0.39831458333333336
