epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.06222187355160713,2.794288396835327,0.0625,2.772589921951294
1,0.06248343735933304,2.7725541591644287,0.0625,2.7725908756256104
2,0.062459688633680344,2.7725534439086914,0.0625,2.772590160369873
3,0.062373124063014984,2.7725465297698975,0.0625,2.7725908756256104
4,0.06223750114440918,2.77254319190979,0.0625,2.7725894451141357
5,0.06230906397104263,2.772576332092285,0.0625,2.772589921951294
6,0.06236281245946884,2.7725417613983154,0.0625,2.7725911140441895
7,0.062306564301252365,2.772556781768799,0.0625,2.772589683532715
8,0.062264688313007355,2.772559642791748,0.0625,2.7725915908813477
9,0.062111563980579376,2.772538661956787,0.0625,2.772590160369873
10,0.06236843764781952,2.7725462913513184,0.0625,2.7725908756256104
11,0.062265314161777496,2.7725369930267334,0.0625,2.7725889682769775
12,0.06214781105518341,2.77254056930542,0.0625,2.772590398788452
13,0.062402188777923584,2.772545576095581,0.0625,2.7725906372070312
14,0.06252875179052353,2.77254319190979,0.0625,2.772590160369873
15,0.06224937364459038,2.7725346088409424,0.0625,2.7725889682769775
16,0.06209437549114227,2.772535562515259,0.0625,2.772589921951294
17,0.06228499859571457,2.7725305557250977,0.0625,2.7725894451141357
18,0.06213875114917755,2.772549629211426,0.0625,2.7725892066955566
19,0.06211499869823456,2.7725331783294678,0.0625,2.7725894451141357
20,0.06243624910712242,2.7725508213043213,0.0625,2.7725887298583984
21,0.06220624968409538,2.7725400924682617,0.0625,2.7725908756256104
22,0.06250937283039093,2.7725422382354736,0.0625,2.7725884914398193
23,0.06219812482595444,2.772552728652954,0.0625,2.7725884914398193
24,0.06254749745130539,2.7725603580474854,0.0625,2.7725892066955566
25,0.062348123639822006,2.772536277770996,0.0625,2.7725906372070312
26,0.06208031252026558,2.772531032562256,0.0625,2.7725894451141357
27,0.06214156374335289,2.7725467681884766,0.0625,2.7725894451141357
28,0.0622706264257431,2.7725377082824707,0.0625,2.7725892066955566
29,0.06230999901890755,2.772529363632202,0.0625,2.772590160369873
30,0.062312498688697815,2.772531270980835,0.0625,2.772589921951294
31,0.06240031123161316,2.7725391387939453,0.0625,2.7725894451141357
32,0.062357500195503235,2.7725303173065186,0.0625,2.7725894451141357
