distance,val_loss,val_accuracy,test_loss,test_accuracy
14,2.7725884914398193,0.0625,2.7725906372070312,0.0625
2,2.7725884914398193,0.0625,2.7725906372070312,0.0625
44,2.7725884914398193,0.0625,2.7725906372070312,0.0625
62,2.7726597785949707,0.0625,2.77266001701355,0.0625
20,2.7725884914398193,0.0625,2.7725906372070312,0.0625
32,2.7725884914398193,0.0625,2.7725906372070312,0.0625
50,2.7725884914398193,0.0625,2.7725906372070312,0.0625
8,2.7725884914398193,0.0625,2.7725906372070312,0.0625
26,2.7725884914398193,0.0625,2.7725906372070312,0.0625
38,2.7725884914398193,0.0625,2.7725906372070312,0.0625
56,2.772601842880249,0.0625,2.7726008892059326,0.0625
2.8.14.20.26.32,2.7725884914398193,0.0625,2.7725906372070312,0.0625
total time seconds: 1299.8821277618408
