distance,val_loss,val_accuracy,test_loss,test_accuracy
14,2.7725892066955566,0.0625,2.7725887298583984,0.0625
2,2.7725892066955566,0.0625,2.7725887298583984,0.0625
44,2.7725913524627686,0.0625,2.7725906372070312,0.0625
62,2.772822618484497,0.0625,2.7728238105773926,0.0625
20,2.7725892066955566,0.0625,2.7725887298583984,0.0625
32,2.7725892066955566,0.0625,2.7725887298583984,0.0625
50,2.7726218700408936,0.0625,2.7726218700408936,0.0625
8,2.7725892066955566,0.0625,2.7725887298583984,0.0625
26,2.7725892066955566,0.0625,2.7725887298583984,0.0625
38,2.7725892066955566,0.0625,2.7725887298583984,0.0625
56,2.772709846496582,0.0625,2.7727105617523193,0.0625
2.8.14.20.26.32,2.7725892066955566,0.0625,2.7725887298583984,0.0625
total time seconds: 403.2274913787842
