distance,val_loss,val_accuracy,test_loss,test_accuracy
14,1.3878225088119507,0.5850250124931335,1.3886381387710571,0.585224986076355
2,0.69883793592453,0.7272562384605408,0.6987848281860352,0.7265512347221375
44,8.181290626525879,0.07103750109672546,8.183706283569336,0.07096125185489655
62,12.497283935546875,0.0625,12.497967720031738,0.0625
20,2.007765531539917,0.2485249936580658,2.007204532623291,0.249037504196167
32,1.2326366901397705,0.5468249917030334,1.2336664199829102,0.5461187362670898
50,9.346090316772461,0.02576874941587448,9.34233283996582,0.025492500513792038
8,1.4298858642578125,0.49966874718666077,1.4286500215530396,0.5005062222480774
26,1.7490121126174927,0.37828749418258667,1.747685432434082,0.378805011510849
38,7.936862468719482,0.06938125193119049,7.946406841278076,0.06875500082969666
56,10.780294418334961,0.0625,10.7820463180542,0.0625
2.8.14.20.26.32,1.4121363162994385,0.501075029373169,1.4163644313812256,0.49802374839782715
total time seconds: 7976.83939743042
