epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.062184374779462814,2.7854418754577637,0.0625,2.772592067718506
1,0.06260500103235245,2.7725696563720703,0.0625,2.772592067718506
2,0.06245749816298485,2.7725865840911865,0.0625,2.772590398788452
3,0.06235156208276749,2.7725744247436523,0.0625,2.7725889682769775
4,0.06238875165581703,2.7725675106048584,0.0625,2.7725930213928223
5,0.06251593679189682,2.772554397583008,0.0625,2.772592782974243
6,0.06217406317591667,2.772556781768799,0.0625,2.7725915908813477
7,0.062241874635219574,2.7725512981414795,0.0625,2.7725887298583984
8,0.06216812506318092,2.772552490234375,0.0625,2.772589921951294
9,0.06243031099438667,2.77256441116333,0.0625,2.772590160369873
