epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.08172155916690826,2.699439287185669,0.09716875106096268,2.6136415004730225
1,0.10046937316656113,2.606341600418091,0.1036750003695488,2.5903332233428955
2,0.10961750149726868,2.583482265472412,0.10000000149011612,2.622694492340088
3,0.11502781510353088,2.5693681240081787,0.11759375035762787,2.54781174659729
4,0.11782031506299973,2.5613038539886475,0.10324375331401825,2.6053435802459717
5,0.11969468742609024,2.5553371906280518,0.11614999920129776,2.549468517303467
6,0.12117437273263931,2.5504581928253174,0.10728125274181366,2.584078073501587
7,0.12239749729633331,2.5469627380371094,0.11876250058412552,2.5394527912139893
8,0.12352718412876129,2.543337106704712,0.11482500284910202,2.55772066116333
9,0.12445531040430069,2.5404562950134277,0.1146562471985817,2.5543456077575684
