epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.7725856205310757,15.0,2.7725856205310775,15.0,2.7731973879500122,15.001714481655046,0.062085416666666664,0.062085416666666664
1,2.11831582857039,15.0,2.118315828570386,15.0,2.4959652733770477,15.001714481655046,0.27819166666666667,0.27819166666666667
2,1.9802166630979237,15.0,1.9802166630979203,15.0,2.036498657910342,15.001714481655046,0.2962854166666667,0.2962854166666667
3,1.916264219863281,15.0,1.9162642198632809,15.0,1.9517653217510162,15.001714481655046,0.313975,0.313975
4,1.8571694147114555,15.0,1.857169414711455,15.0,1.8898937925814008,15.001714481655046,0.32774375,0.32774375
