epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.77259550379167,15.0,2.772595503791671,15.0,2.7731988754676635,15.001714481655046,0.06236666666666667,0.06236666666666667
1,2.1433167105357813,15.0,2.14331671053578,15.0,2.583464714023477,15.001714481655046,0.26936041666666666,0.26936041666666666
2,1.9436979627907143,15.0,1.9436979627907174,15.0,2.0092837821167246,15.001714481655046,0.29995,0.29995
3,1.8479224015474032,15.0,1.8479224015473994,15.0,1.8942514974857296,15.001714481655046,0.34074583333333336,0.34074583333333336
4,1.7662743435012458,15.0,1.7662743435012442,15.0,1.8098730541541954,15.001714481655046,0.3594583333333333,0.3594583333333333
