epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.6022446785740203,15.0,2.6022446785740176,15.0,2.7631661726483365,15.001714481655046,0.15606041666666667,0.15606041666666667
1,1.949718996109306,15.0,1.9497189961093078,15.0,2.151930847371246,15.001714481655046,0.3206791666666667,0.3206791666666667
2,1.8183031882708065,15.0,1.8183031882708034,15.0,1.8745811129801349,15.001714481655046,0.3677,0.3677
3,1.751972477959862,15.0,1.7519724779598602,15.0,1.7858705123901704,15.001714481655046,0.3815395833333333,0.3815395833333333
4,1.694419117241956,15.0,1.694419117241956,15.0,1.7270862022758795,15.001714481655046,0.38374166666666665,0.38374166666666665
