epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.188517084887489,15.0,2.1885170848874904,15.0,2.650542100565704,15.001714481655046,0.2741416666666667,0.2741416666666667
1,1.8445571188102963,15.0,1.8445571188102927,15.0,1.9271596507873126,15.001714481655046,0.34282708333333334,0.34282708333333334
2,1.7459584835339308,15.0,1.745958483533932,15.0,1.7923133809001097,15.001714481655046,0.35089791666666664,0.35089791666666664
3,1.6982259494439784,15.0,1.6982259494439758,15.0,1.7203895167582395,15.001714481655046,0.36504375,0.36504375
4,1.6818253897237925,15.0,1.6818253897237936,15.0,1.6849169195294602,15.001714481655046,0.3679395833333333,0.3679395833333333
