epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.7726064216542645,15.0,2.772606421654266,15.0,2.7730156515312143,15.000857191839534,0.062575,0.062575
1,1.8798242201149717,15.0,1.8798242201149795,15.0,2.4381988298640658,15.000857191839534,0.33859375,0.33859375
2,1.6589784440833468,15.0,1.6589784440833504,15.0,1.751569424154986,15.000857191839534,0.39017083333333336,0.39017083333333336
3,1.5663825123323238,15.0,1.5663825123323232,15.0,1.612685643871898,15.000857191839534,0.39565,0.39565
4,1.5241772472002564,15.0,1.5241772472002564,15.0,1.5417169114879536,15.000857191839534,0.40518125,0.40518125
