distance,val_loss,val_accuracy,test_loss,test_accuracy
14,1.4048882722854614,0.46076250076293945,1.40644371509552,0.4604575037956238
2,15.110708236694336,0.0625,15.11071491241455,0.0625
44,13.117941856384277,0.0625,13.117986679077148,0.0625
62,13.199767112731934,0.0625,13.199752807617188,0.0625
20,11.436515808105469,0.056687500327825546,11.43998908996582,0.05673624947667122
32,12.1680908203125,0.08489999920129776,12.167367935180664,0.0847724974155426
50,12.978971481323242,0.0625,12.979072570800781,0.0625
8,13.129219055175781,0.0996749997138977,13.129573822021484,0.09811375290155411
26,8.371721267700195,0.04001874849200249,8.374814987182617,0.04014125093817711
38,13.076854705810547,0.0625,13.076863288879395,0.0625
56,13.192909240722656,0.0625,13.192898750305176,0.0625
total time seconds: 289.6676232814789
