epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.059962307944627,15.0,2.059962307944623,15.0,2.5588700073478208,15.000857191839534,0.29868333333333336,0.29868333333333336
1,1.7457853799689835,15.0,1.745785379968984,15.0,1.842401415117818,15.000857191839534,0.3574875,0.3574875
2,1.6704492419367116,15.0,1.6704492419367163,15.0,1.6874321932343979,15.000857191839534,0.372725,0.372725
3,1.6016935975202349,15.0,1.6016935975202373,15.0,1.623673038067197,15.000857191839534,0.38946458333333334,0.38946458333333334
4,1.5645804797307192,15.0,1.5645804797307208,15.0,1.5858848087151083,15.000857191839534,0.39881875,0.39881875
