epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.7718470268375826,15.0,2.7718470268375754,15.0,2.773098279406851,15.001714481655046,0.06536875,0.06536875
1,1.8394186460308588,15.0,1.839418646030855,15.0,2.1180562647559773,15.001714481655046,0.34991875,0.34991875
2,1.697492860007869,15.0,1.697492860007867,15.0,1.7745307877762,15.001714481655046,0.38936875,0.38936875
3,1.5747423002669734,15.0,1.5747423002669712,15.0,1.631878053424095,15.001714481655046,0.4007125,0.4007125
4,1.5382149602428015,15.0,1.5382149602427981,15.0,1.5620233469588316,15.001714481655046,0.40894375,0.40894375
5,1.515110867101522,15.0,1.51511086710152,15.0,1.5338021364858998,15.001714481655046,0.4151270833333333,0.4151270833333333
6,1.500568040670496,15.0,1.5005680406704969,15.0,1.516157536580315,15.001714481655046,0.4209333333333333,0.4209333333333333
7,1.4934707455547165,15.0,1.4934707455547132,15.0,1.5030466542315788,15.001714481655046,0.42186666666666667,0.42186666666666667
8,1.482879122443392,15.0,1.4828791224433946,15.0,1.4916838233693983,15.001714481655046,0.4261625,0.4261625
9,1.4745475974578865,15.0,1.4745475974578828,15.0,1.480314680214991,15.001714481655046,0.4258375,0.4258375
10,1.4944495628069236,15.0,1.4944495628069248,15.0,1.4687660456297498,15.001714481655046,0.42230416666666665,0.42230416666666665
11,1.443882838265454,15.0,1.4438828382654576,15.0,1.456023083913696,15.001714481655046,0.44464166666666666,0.44464166666666666
12,1.4386287922185115,15.0,1.4386287922185135,15.0,1.440866798529186,15.001714481655046,0.44247916666666665,0.44247916666666665
13,1.404154602612445,15.0,1.4041546026124465,15.0,1.421082877042828,15.001714481655046,0.46065208333333335,0.46065208333333335
14,1.365625086427517,15.0,1.3656250864275123,15.0,1.3916752827212626,15.001714481655046,0.4813354166666667,0.4813354166666667
15,1.3330742194242318,15.0,1.3330742194242344,15.0,1.3514906358829337,15.001714481655046,0.50143125,0.50143125
16,1.309683767365356,15.0,1.3096837673653534,15.0,1.3104738519595742,15.001714481655046,0.5100479166666667,0.5100479166666667
17,1.2581882124693191,15.0,1.25818821246932,15.0,1.2778915997068008,15.001714481655046,0.5296895833333334,0.5296895833333334
18,1.241943615070847,15.0,1.241943615070844,15.0,1.2561718226657586,15.001714481655046,0.5319729166666667,0.5319729166666667
19,1.2269638755679104,15.0,1.22696387556791,15.0,1.2400020739702218,15.001714481655046,0.5380083333333333,0.5380083333333333
20,1.22024564533687,15.0,1.2202456453368686,15.0,1.227855421890967,15.001714481655046,0.5388479166666666,0.5388479166666666
21,1.2194053329471735,15.0,1.2194053329471757,15.0,1.2182096873265549,15.001714481655046,0.5409145833333333,0.5409145833333333
22,1.2087192015998462,15.0,1.2087192015998438,15.0,1.2099865073856246,15.001714481655046,0.5411645833333333,0.5411645833333333
23,1.1970239789938328,15.0,1.1970239789938306,15.0,1.203118997537161,15.001714481655046,0.5450916666666666,0.5450916666666666
24,1.1895245506770116,15.0,1.1895245506770122,15.0,1.1972574889895191,15.001714481655046,0.5470895833333334,0.5470895833333334
