distance,val_loss,val_accuracy,test_loss,test_accuracy
14,2.7725894451141357,0.0625,2.772554636001587,0.0625
2,2.7725894451141357,0.0625,2.772554636001587,0.0625
44,2.7725894451141357,0.0625,2.772554636001587,0.0625
62,2.7725894451141357,0.0625,2.772554636001587,0.0625
20,2.7725894451141357,0.0625,2.772554636001587,0.0625
32,2.7725894451141357,0.0625,2.772554636001587,0.0625
50,2.7725894451141357,0.0625,2.772554636001587,0.0625
8,2.7725894451141357,0.0625,2.772554636001587,0.0625
26,2.7725894451141357,0.0625,2.772554636001587,0.0625
38,2.7725894451141357,0.0625,2.772554636001587,0.0625
56,2.7725894451141357,0.0625,2.772554636001587,0.0625
2.8.14.20.26.32,2.7725894451141357,0.0625,2.772554636001587,0.0625
total time seconds: 1998.5432350635529
