NAME,DISTANCE,LEARNING_RATE,BATCH,EPOCHS,PATIENCE,TEST_LOSS,TEST_ACC,VAL_LOSS,VAL_ACC,TOTAL_TIME_SECS
avtomat_distance-26_learningRate-0.0001_batch-512_epochs-300_patience-10,26,0.0001,512,300,10,0.691782176494598,0.753748774528503,0.692478656768799,0.752425014972687,4567.43337273598
avtomat_distance-44_learningRate-0.0001_batch-256_epochs-10_patience-10,44,0.0001,256,10,10,0.693883776664734,0.709101259708404,0.693246364593506,0.708112478256226,590.56071305275
avtomat_distance-2_learningRate-0.001_batch-128_epochs-10_patience-10,2,0.001,128,10,10,0.699924468994141,0.732443749904633,0.699884235858917,0.731899976730347,919.545744657517
avtomat_distance-2_learningRate-0.001_batch-512_epochs-10_patience-10,2,0.001,512,10,10,0.720270991325378,0.727291226387024,0.720624923706055,0.726581275463104,397.912993431091
avtomat_distance-14_learningRate-0.0001_batch-256_epochs-10_patience-10,14,0.0001,256,10,10,0.724415183067322,0.726956248283386,0.721066832542419,0.728906273841858,778.829209089279
avtomat_distance-26_learningRate-0.0001_batch-256_epochs-300_patience-10,26,0.0001,256,300,10,0.721974194049835,0.754852473735809,0.72198086977005,0.75468122959137,5377.590955019
avtomat_distance-2_learningRate-0.001_batch-256_epochs-10_patience-10,2,0.001,256,10,10,0.728588342666626,0.707332491874695,0.728913724422455,0.708137512207031,580.064790010452
avtomat_distance-26_learningRate-0.0001_batch-128_epochs-300_patience-10,26,0.0001,128,300,10,0.73495751619339,0.736147522926331,0.737038850784302,0.73541247844696,10004.1348500252
avtomat_distance-20_learningRate-0.0001_batch-128_epochs-300_patience-10,20,0.0001,128,300,10,0.761279582977295,0.738032519817352,0.759777009487152,0.738324999809265,8993.34818768501
avtomat_distance-44_learningRate-0.0001_batch-512_epochs-10_patience-10,44,0.0001,512,10,10,0.760168075561523,0.682071268558502,0.76105010509491,0.680337488651276,399.69383430481
avtomat_distance-44_learningRate-0.0001_batch-128_epochs-10_patience-10,44,0.0001,128,10,10,0.767717957496643,0.664541244506836,0.764927804470062,0.664793729782105,917.959749937057
avtomat_distance-32_learningRate-0.0001_batch-256_epochs-10_patience-10,32,0.0001,256,10,10,0.775859892368317,0.691787481307983,0.774785578250885,0.691799998283386,681.377848625183
avtomat_distance-8_learningRate-0.0001_batch-128_epochs-10_patience-10,8,0.0001,128,10,10,0.776350796222687,0.707298755645752,0.77640038728714,0.707674980163574,991.587232112884
avtomat_distance-20_learningRate-0.0001_batch-512_epochs-300_patience-10,20,0.0001,512,300,10,0.780556738376617,0.719389975070953,0.779537856578827,0.720462501049042,3733.29033136368
avtomat_distance-38_learningRate-0.0001_batch-256_epochs-10_patience-10,38,0.0001,256,10,10,0.791097819805145,0.676486253738403,0.791077315807343,0.678237497806549,669.802201747894
avtomat_distance-2_learningRate-0.0001_batch-128_epochs-10_patience-10,2,0.0001,128,10,10,0.822932600975037,0.651335000991821,0.822527706623077,0.652287483215332,1127.33892273903
avtomat_distance-8_learningRate-0.001_batch-512_epochs-10_patience-10,8,0.001,512,10,10,0.860247552394867,0.687038779258728,0.860389173030853,0.686668753623962,399.840948343277
avtomat_distance-20_learningRate-0.0001_batch-256_epochs-300_patience-10,20,0.0001,256,300,10,0.863557875156403,0.675307512283325,0.860972583293915,0.676868736743927,3759.24529314041
avtomat_distance-2_learningRate-0.0001_batch-256_epochs-10_patience-10,2,0.0001,256,10,10,0.878432989120483,0.636118769645691,0.877956807613373,0.636668741703033,609.701317310333
avtomat_distance-8_learningRate-0.0001_batch-256_epochs-10_patience-10,8,0.0001,256,10,10,0.888360261917114,0.65879499912262,0.889105975627899,0.659643769264221,603.138812303543
avtomat_distance-38_learningRate-0.0001_batch-512_epochs-10_patience-10,38,0.0001,512,10,10,0.896586239337921,0.635495007038116,0.896296083927154,0.635725021362305,464.16489982605
avtomat_distance-32_learningRate-0.0001_batch-512_epochs-10_patience-10,32,0.0001,512,10,10,0.939628064632416,0.61328250169754,0.937453031539917,0.614493727684021,509.788918018341
avtomat_distance-8_learningRate-0.0001_batch-512_epochs-10_patience-10,8,0.0001,512,10,10,0.990116119384766,0.622134983539581,0.990713179111481,0.621562480926514,385.542398691177
avtomat_distance-8_learningRate-0.001_batch-256_epochs-10_patience-10,8,0.001,256,10,10,0.993480384349823,0.639083743095398,0.99371474981308,0.639556229114533,566.442841291428
avtomat_distance-2_learningRate-0.0001_batch-512_epochs-10_patience-10,2,0.0001,512,10,10,1.00295162200928,0.558239996433258,1.0045166015625,0.558899998664856,428.971714019775
avtomat_distance-26_learningRate-0.0001_batch-128_epochs-10_patience-10,26,0.0001,128,10,10,1.01645743846893,0.609584987163544,1.01640832424164,0.610724985599518,926.66995549202
avtomat_distance-26_learningRate-0.0001_batch-256_epochs-10_patience-10,26,0.0001,256,10,10,1.10075724124908,0.567977488040924,1.09936082363129,0.569681227207184,990.306128501892
avtomat_distance-20_learningRate-0.0001_batch-128_epochs-10_patience-10,20,0.0001,128,10,10,1.17624807357788,0.553522527217865,1.17624771595001,0.553181231021881,1016.6642665863
avtomat_distance-26_learningRate-0.0001_batch-512_epochs-10_patience-10,26,0.0001,512,10,10,1.1960289478302,0.531435012817383,1.19578540325165,0.533249974250793,399.974256277084
avtomat_distance-14_learningRate-0.0001_batch-512_epochs-10_patience-10,14,0.0001,512,10,10,1.27444612979889,0.499619990587235,1.27406561374664,0.499543756246567,451.520039081573
avtomat_distance-20_learningRate-0.0001_batch-256_epochs-10_patience-10,20,0.0001,256,10,10,1.57249355316162,0.393694996833801,1.57256352901459,0.391950011253357,649.561421394348
avtomat_distance-20_learningRate-0.0001_batch-512_epochs-10_patience-10,20,0.0001,512,10,10,1.74620068073273,0.304012507200241,1.74504840373993,0.302275002002716,431.22435593605
avtomat_distance-56_learningRate-0.0005_batch-1024_epochs-300_patience-10,56,0.0005,1024,300,10,2.77260375022888,0.0625,2.77260422706604,0.0625,347.8944439888
avtomat_distance-50_learningRate-0.0005_batch-1024_epochs-300_patience-10,50,0.0005,1024,300,10,2.77260375022888,0.0625,2.77260422706604,0.0625,345.181728124619
avtomat_distance-32_learningRate-0.001_batch-512_epochs-10_patience-10,32,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,401.167083501816
avtomat_distance-44_learningRate-0.001_batch-512_epochs-10_patience-10,44,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,398.353160619736
avtomat_distance-56_learningRate-0.001_batch-512_epochs-10_patience-10,56,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,394.970115184784
avtomat_distance-26_learningRate-0.001_batch-512_epochs-10_patience-10,26,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,403.907710790634
avtomat_distance-62_learningRate-0.001_batch-512_epochs-10_patience-10,62,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,406.276832342148
avtomat_distance-14_learningRate-0.001_batch-512_epochs-10_patience-10,14,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,406.684781312943
avtomat_distance-38_learningRate-0.001_batch-512_epochs-10_patience-10,38,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,406.685083627701
avtomat_distance-50_learningRate-0.001_batch-512_epochs-10_patience-10,50,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,402.542583465576
avtomat_distance-20_learningRate-0.001_batch-512_epochs-10_patience-10,20,0.001,512,10,10,2.77262115478516,0.0625,2.77261877059937,0.0625,405.255206823349
avtomat_distance-26_learningRate-0.001_batch-256_epochs-10_patience-10,26,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,590.041715860367
avtomat_distance-32_learningRate-0.001_batch-256_epochs-10_patience-10,32,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,567.441593885422
avtomat_distance-38_learningRate-0.001_batch-256_epochs-10_patience-10,38,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,567.323740720749
avtomat_distance-56_learningRate-0.001_batch-256_epochs-10_patience-10,56,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,561.161817073822
avtomat_distance-14_learningRate-0.001_batch-256_epochs-10_patience-10,14,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,564.877284288406
avtomat_distance-50_learningRate-0.001_batch-256_epochs-10_patience-10,50,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,594.926267385483
avtomat_distance-62_learningRate-0.001_batch-256_epochs-10_patience-10,62,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,574.412297487259
avtomat_distance-20_learningRate-0.001_batch-256_epochs-10_patience-10,20,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,564.356827020645
avtomat_distance-44_learningRate-0.001_batch-256_epochs-10_patience-10,44,0.001,256,10,10,2.77263259887695,0.0625,2.77262902259827,0.0625,586.928702354431
avtomat_distance-8_learningRate-0.001_batch-128_epochs-10_patience-10,8,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,922.04696893692
avtomat_distance-26_learningRate-0.001_batch-128_epochs-10_patience-10,26,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,902.422085762024
avtomat_distance-38_learningRate-0.001_batch-128_epochs-10_patience-10,38,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,910.852511405945
avtomat_distance-32_learningRate-0.001_batch-128_epochs-10_patience-10,32,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,922.16360449791
avtomat_distance-14_learningRate-0.001_batch-128_epochs-10_patience-10,14,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,907.158085823059
avtomat_distance-50_learningRate-0.001_batch-128_epochs-10_patience-10,50,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,925.740488767624
avtomat_distance-20_learningRate-0.001_batch-128_epochs-10_patience-10,20,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,916.168929576874
avtomat_distance-56_learningRate-0.001_batch-128_epochs-10_patience-10,56,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,903.726575851441
avtomat_distance-44_learningRate-0.001_batch-128_epochs-10_patience-10,44,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,906.839315891266
avtomat_distance-62_learningRate-0.001_batch-128_epochs-10_patience-10,62,0.001,128,10,10,2.77263903617859,0.0625,2.77264738082886,0.0625,904.313497066498
avtomat_distance-14_learningRate-0.0005_batch-64_epochs-300_patience-10,14,0.0005,64,300,10,2.77266144752502,0.0625,2.77265882492065,0.0625,1744.05473971367
avtomat_distance-56_learningRate-0.0005_batch-64_epochs-300_patience-10,56,0.0005,64,300,10,2.77266144752502,0.0625,2.77265882492065,0.0625,1759.60664343834
avtomat_distance-50_learningRate-0.0005_batch-64_epochs-300_patience-10,50,0.0005,64,300,10,2.77266144752502,0.0625,2.77265882492065,0.0625,1757.97903609276
