epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.08131562173366547,2.7022128105163574,0.09466875344514847,2.623788356781006
1,0.09934187680482864,2.615652561187744,0.09969999641180038,2.604402542114258
2,0.10971374809741974,2.5847508907318115,0.10707499831914902,2.5865023136138916
3,0.11509250104427338,2.569840669631958,0.1030687466263771,2.6046576499938965
4,0.11786030977964401,2.561157703399658,0.10867500305175781,2.5768213272094727
5,0.12003812193870544,2.5549070835113525,0.12198749929666519,2.534193515777588
6,0.12149187177419662,2.5501327514648438,0.1236250028014183,2.529228448867798
7,0.12271593511104584,2.5462851524353027,0.098106250166893,2.6500332355499268
8,0.12403843551874161,2.5425450801849365,0.12318125367164612,2.530808448791504
9,0.12492375075817108,2.539703369140625,0.11179374903440475,2.568488359451294
