epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.114059132672897,15.0,2.114059132672894,15.0,2.599242814313922,15.001714481655046,0.2813125,0.2813125
1,1.7871353069582303,15.0,1.7871353069582308,15.0,1.8796855705925593,15.001714481655046,0.363225,0.363225
2,1.6733626075673427,15.0,1.6733626075673447,15.0,1.7236615616422963,15.001714481655046,0.36936875,0.36936875
3,1.5872757033708262,15.0,1.5872757033708331,15.0,1.6171992758352436,15.001714481655046,0.39834583333333334,0.39834583333333334
4,1.5377226728821072,15.0,1.5377226728821065,15.0,1.5651056109288461,15.001714481655046,0.40795,0.40795
