epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.06246468797326088,2.7856056690216064,0.0625,2.772589921951294
1,0.062213435769081116,2.7725677490234375,0.0625,2.7725913524627686
2,0.06211375072598457,2.7725584506988525,0.0625,2.772592544555664
3,0.06242562457919121,2.772569179534912,0.0625,2.772592306137085
4,0.06245281174778938,2.7725672721862793,0.0625,2.7725913524627686
5,0.0625246912240982,2.772573709487915,0.0625,2.7725908756256104
6,0.06231406331062317,2.7725565433502197,0.0625,2.772590160369873
7,0.06249593570828438,2.7725625038146973,0.0625,2.7725911140441895
8,0.06225249916315079,2.7725753784179688,0.0625,2.7725913524627686
9,0.06240125000476837,2.772562265396118,0.0625,2.772592067718506
