epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.7725630177726415,15.0,2.772563017772646,15.0,2.773198654336691,15.001714481655046,0.062379166666666666,0.062379166666666666
1,1.9757949893647304,15.0,1.97579498936473,15.0,2.4308638264506786,15.001714481655046,0.30356875,0.30356875
2,1.8503798122816533,15.0,1.8503798122816508,15.0,1.9031288318621993,15.001714481655046,0.3405166666666667,0.3405166666666667
3,1.789730633024008,15.0,1.7897306330240095,15.0,1.8179687586188231,15.001714481655046,0.3406104166666667,0.3406104166666667
4,1.6923171782330986,15.0,1.692317178233099,15.0,1.7409596022975864,15.001714481655046,0.36885416666666665,0.36885416666666665
