epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.06251468509435654,2.782059907913208,0.0625,2.7725911140441895
1,0.06244562566280365,2.7730109691619873,0.0625,2.772599935531616
2,0.06223812326788902,2.77305006980896,0.0625,2.7725934982299805
3,0.06280624866485596,2.773030996322632,0.0625,2.7725939750671387
4,0.06254874914884567,2.773052215576172,0.0625,2.772594928741455
5,0.06227937340736389,2.773066759109497,0.0625,2.7725987434387207
6,0.06242312490940094,2.773061513900757,0.0625,2.7725985050201416
7,0.06245593726634979,2.7730233669281006,0.0625,2.7725930213928223
8,0.0623643733561039,2.7730636596679688,0.0625,2.7725930213928223
9,0.06234687566757202,2.773057460784912,0.0625,2.772597074508667
10,0.06227999925613403,2.7730913162231445,0.0625,2.7725956439971924
