epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,1.7562339865479344,15.0,1.7562339865479313,15.0,2.2275815864767616,15.000857191839534,0.37948125,0.37948125
1,1.525471021562301,15.0,1.5254710215623026,15.0,1.5912482629924583,15.000857191839534,0.40503333333333336,0.40503333333333336
2,1.4439006066986044,15.0,1.4439006066986042,15.0,1.4541592434531412,15.000857191839534,0.44239375,0.44239375
3,1.415074127215093,15.0,1.4150741272150869,15.0,1.418251439585895,15.000857191839534,0.45067083333333335,0.45067083333333335
4,1.3789412262165324,15.0,1.3789412262165328,15.0,1.3976886140012672,15.000857191839534,0.4629520833333333,0.4629520833333333
