distance,val_loss,val_accuracy,test_loss,test_accuracy
14,2.7725911140441895,0.0625,2.772578716278076,0.0625
2,2.7725911140441895,0.0625,2.772578716278076,0.0625
44,2.7725911140441895,0.0625,2.772578716278076,0.0625
62,2.772611141204834,0.0625,2.7726120948791504,0.0625
20,2.7725911140441895,0.0625,2.772578716278076,0.0625
32,2.7725911140441895,0.0625,2.772578716278076,0.0625
50,2.7725906372070312,0.0625,2.772578716278076,0.0625
8,2.7725911140441895,0.0625,2.772578716278076,0.0625
26,2.7725911140441895,0.0625,2.772578716278076,0.0625
38,2.7725911140441895,0.0625,2.772578716278076,0.0625
56,2.772596597671509,0.0625,2.7725908756256104,0.0625
2.8.14.20.26.32,2.7725911140441895,0.0625,2.772578716278076,0.0625
total time seconds: 1443.5661063194275
