epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.5230538627818855,4.533685948410016,2.7727613011322028,13.614112414202092,2.6047473227068583,5.412403620136356,0.17506875,0.0
1,1.9865514154748263,3.164576767479882,9.632253460484389,3.082170577035143,2.1979727612398916,3.48196846772492,0.05624375,0.0
2,1.9817107259066873,3.085377911473388,18.37895262667995,4.348250270106583,1.9840932929977217,3.119500545401116,0.0381125,0.0
3,1.894796364015371,1.7498718857829778,28.090682971364878,11.014716844003832,1.947258838733762,2.0747421087098896,0.014275,0.0
4,1.6609259296339085,1.5251646189300034,35.3238789009996,11.700963102852775,1.8968427687744374,1.7744188253747353,0.037925,0.0
5,1.5294140355657622,1.405623855221143,47.54710428923688,18.15525284380998,1.60521586249797,1.4304322347027119,0.02888125,0.0
6,1.4505233040614771,1.2411817954971347,52.49400465370767,17.88883832651578,1.525684874410682,1.3299701104628994,0.04599375,0.0
7,1.4874968249868972,1.2311743104758575,61.17869942418753,18.805102069843937,1.492152862225909,1.2950896681788366,0.0515625,0.0
8,1.379149339956093,1.2343950349220554,66.6018840724417,17.54341858430764,1.4463990025976339,1.262494007371997,0.04699375,0.0
9,1.3937315033422686,1.1709254819260304,73.42686946313711,17.031518630716945,1.3906034739190305,1.2391762712893188,0.0417125,0.0
10,1.305266624464261,1.173282995943489,79.9270818216648,16.75293544160733,1.3582119453683144,1.2226477753371414,0.0507,0.0
11,1.3008115908107216,1.1381608082049472,86.36511949918429,17.127115244840326,1.3345131729910449,1.2072916485552603,0.0403625,0.0
