epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.772700235591807,15.0,2.7727000178601107,15.0,2.773545916084065,15.003429355281208,0.06246875,0.06246875
1,2.547089693610735,15.0,2.5470963296422893,15.0,2.754364599331377,15.003429355281208,0.18359583333333335,0.18359583333333335
2,1.9661788774382527,15.0,1.9661932234498432,15.0,2.149191267612518,15.003429355281208,0.31092291666666666,0.31092291666666666
3,1.8626070936075105,15.0,1.8626621110521695,15.0,1.911346655922815,15.003429355281208,0.34945625,0.34945625
4,1.784590490208124,15.0,1.7845892643822898,15.0,1.8274823645258955,15.003429355281208,0.3604791666666667,0.3604791666666667
