epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,2.7726408605026887,15.0,2.7726408605026918,15.0,2.773181653791846,15.001714481655046,0.06193125,0.06193125
1,2.3349863753637417,15.0,2.334986375363747,15.0,2.712565998461659,15.001714481655046,0.21923958333333332,0.21923958333333332
2,1.9290950345350832,15.0,1.9290950345350821,15.0,2.0588681975474685,15.001714481655046,0.32636875,0.32636875
3,1.825125675760355,15.0,1.8251256757603567,15.0,1.872524277228935,15.001714481655046,0.3486708333333333,0.3486708333333333
4,1.7172155576764447,15.0,1.7172155576764452,15.0,1.771356631438005,15.001714481655046,0.37204166666666666,0.37204166666666666
